,Unnamed: 0,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights,factors
10,10,14696692661183092916,18,female,not_in_labor_force,4,19609,zero,not_working,k_12,work,15,walking,0-10,18-24,$10k-$50k,public_transit,20-30,"[""As someone in the 18-24 age group with no income and not in the labor force, I likely have limited transportation options. Cambridge, MA has good public transit, so public transit is a viable option. However, with a household size of 4 and no available vehicles, walking is also a possibility for short distances. Private auto and auto passenger options are less likely due to lack of personal vehicles. The duration for public transit might be longer than walking for short distances, but the weight should reflect the likelihood based on the reference data.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]","[""household_size"", ""employment_status"", ""age_group"", ""available_vehicles"", ""income_group"", ""desire""]"
11,11,17243595094662745330,26,male,employed,2,260577,one,naics54,bachelors_degree,home,15,private_auto,0-10,25-34,$200k-$300k,private_auto,30-40,"[""As a person in Cambridge, MA with a bachelor's degree and a household income of $200k-$300k, I am likely to prioritize convenience and efficiency in my transportation choices. Since I have one vehicle available, I am more inclined to use it for longer distances or when time is a critical factor. Given that I am employed and have a partner in the household, I may prefer to carpool or use private auto for greater flexibility."", ""Walking is a common mode of transportation in Cambridge, MA due to its walkable neighborhoods and bike-friendly infrastructure. However, with a household size of 2 and a busy workday, I may not always choose walking unless the distance is short. The presence of multiple 'walking' options in the choices suggests that it is a frequently considered mode, but I might prefer it only for short trips."", ""Biking is another viable option in Cambridge, MA, especially for shorter distances. However, the availability of a private vehicle may reduce the likelihood of choosing biking, especially if the distance is not very short. The presence of 'bike' as an option suggests that it is a common mode for short trips, but I may prefer it only for very short distances."", ""Considering the available mode choices and the context of a normal weekday, the most likely transportation modes are private auto, auto passenger, or walking. The duration choices suggest that I may prefer shorter trips if the mode is walking or biking, but longer durations if using a private vehicle.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.35}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]","[""household_size"", ""employment_status"", ""available_vehicles"", ""income_group"", ""desire"", ""education_level""]"
12,12,7972501111113019649,42,female,employed,1,66795,zero,naics31_33,some_college,shop,15,walking,0-10,35-44,$50k-$100k,walking,0-10,"[""As a 35-44 year old with some college education and an employed status, I would prioritize walking for short trips due to the urban environment of Cambridge,MA which is walkable."", ""Since I have no available vehicles, walking and biking are the only feasible options for transportation."", ""The duration of the trip is likely to be short for a shopping trip, so a 0-10 minute duration is preferred."", ""Given the cultural context of Cambridge,MA, there is a higher likelihood of choosing walking over biking for a short trip.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]","[""available_vehicles"", ""age_group"", ""desire""]"
13,13,14763949716867062788,53,male,employed,2,257831,zero,naics61,advanced_degree,eat,11,walking,0-10,45-54,$200k-$300k,auto_passenger,10-20,"[""As a 45-54 year old individual with an advanced degree and an income of $200k-$300k, I am likely to prioritize convenience and efficiency in my transportation choices. Since I don't have a personal vehicle, walking is a viable option if the destination is within a reasonable distance. However, given the potential for longer distances and the need to maintain a work-life balance, I might prefer to use public transportation or ride-sharing services. The reference data indicates that walking is frequently chosen, but the availability of public transit options in Cambridge, MA could influence the decision. The duration for walking is typically short, so if the target distance is not too far, walking is feasible. However, if the distance is greater, I might opt for a ride-sharing service, which could take longer but is more efficient for longer trips.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.5}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}]","[""age_group"", ""available_vehicles"", ""income_group"", ""desire"", ""education_level""]"
14,14,5104314712835088722,21,male,employed,1,0,unknown_num_vehicles,naics54,some_college,work,6,walking,20-30,18-24,Under $10k,walking,0-10,"[""As an employed individual in my 20s with a low income, I'm likely to prioritize cost-effective and time-efficient travel options. Walking is a common choice for short distances in a walkable city like Cambridge, MA. However, since the target distance is unknown, I'll consider multiple options. Private auto ownership is less likely due to financial constraints, but I might use it if necessary. Biking is a viable option if the distance is moderate. Public transit isn't listed, but auto passenger could be an option if someone else is driving. The duration choices suggest most trips are short, so I'll focus on quick modes.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]","[""employment_status"", ""age_group"", ""available_vehicles"", ""income_group"", ""start_time"", ""desire""]"
15,15,12065962631916466091,67,female,employed,1,39789,zero,naics522130,high_school,eat,20,other_travel_mode,0-10,65+,$10k-$50k,walking,0-10,"[""As a 65+ individual with no available vehicles, walking is the only feasible mode for short distances, but longer distances might require alternative solutions."", ""Since I am employed, I may prioritize walking for health and cost reasons, but if the distance is too far, I might consider using public transit, which isn't listed here."", ""The duration choices range from 0-10 to 40 minutes, so I would prefer shorter durations for convenience, especially if the destination is nearby."", ""Given the lack of private vehicles, the weight for walking should be higher, but I must also consider the possibility of using ride-sharing services if the distance is too great.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.35}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]","[""available_vehicles"", ""employment_status"", ""desire""]"
16,16,12751914771888147384,18,female,not_in_labor_force,1,0,unknown_num_vehicles,not_working,high_school,other_activity_type,11,walking,0-10,18-24,Under $10k,biking,0-10,"[""As someone in the 18-24 age group with limited income and not in the labor force, I'm more likely to rely on free or low-cost transportation options like walking or public transit."", ""Cambridge, MA has a strong public transit system, making it a viable option for short to medium distances."", ""Walking is a common choice for short trips in a walkable city like Cambridge, especially with a single occupant household."", ""Biking could be an option if the distance is short enough and weather conditions are favorable, but it's less likely due to potential safety concerns.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]","[""household_size"", ""employment_status"", ""age_group"", ""available_vehicles"", ""income_group"", ""start_time"", ""desire"", ""education_level""]"
17,17,5918183004216238851,58,female,not_in_labor_force,1,0,zero,not_working,advanced_degree,home,11,walking,10-20,55-64,Under $10k,walking,0-10,"[""I have no vehicle and can't drive, so private_auto and auto_passenger are not options. Walking is the only viable mode, but I need to consider walking distance and time. The reference data shows walking is most common, with durations varying from 0-10 to 30-40 minutes. As someone with an advanced degree, I might prefer shorter walks if possible, but longer walks are acceptable for greater distances. The weight should reflect the likelihood of choosing walking with different durations based on distance. The available durations are 0-10, 10-20, 20-30, 30-40 minutes. Since I can't drive, I'll focus on walking options, and the weights should be distributed based on the reference data's frequency of each duration. The higher weights are for shorter durations, but some longer durations are also possible if the distance is greater.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}]","[""available_vehicles"", ""education_level"", ""desire""]"
18,18,4761380013835909412,18,male,employed,1,0,unknown_num_vehicles,naics61,some_college,maintenance,13,walking,0-10,18-24,Under $10k,private_auto,20-30,"[""As an employed individual in Cambridge, MA with a household size of 1 and some college education, I am likely to prioritize convenience and efficiency for my maintenance task. Walking is a common choice for short trips, especially in a walkable city like Cambridge. However, since I have an unknown number of vehicles, there's a chance I might use a private auto for longer distances. Biking is also a viable option given the city's bike-friendly infrastructure, but the duration may vary based on the distance. Auto passenger could be a possibility if I have a ride-sharing option, though it's less common for maintenance tasks. The weight distribution reflects the likelihood of each mode based on the given context and cultural factors in Cambridge.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.35}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]","[""household_size"", ""employment_status"", ""available_vehicles"", ""desire"", ""education_level""]"
19,19,1848781247772650707,24,female,employed,1,17765,zero,naics61,bachelors_degree,eat,18,public_transit,20-30,18-24,$10k-$50k,public_transit,10-20,"[""As an employed individual with a bachelor's degree in Cambridge, MA, I prioritize efficient and reliable transportation options. Public transit is a common choice in this area due to urban density and limited parking. Walking is feasible for short distances, but longer trips would require a car or bike. Biking is popular in Cambridge for short trips, especially with the bike-sharing options available. Private auto use is less common due to traffic and parking challenges, but may be preferred for longer distances. Auto passenger options are less likely as I live alone."", ""Given the target distance is unknown, I'll consider all modes but prioritize those that balance time and convenience. Walking and biking are suitable for shorter trips, while public transit offers a reliable option for mid-range distances. Private auto might be used for longer distances, but it's less preferred due to cost and parking issues. Auto passenger is less likely as I live alone."", ""Cambridge has a strong public transit system with the MBTA, making it a viable option for many trips. Walking is common for short distances, and biking is encouraged due to the city's bike-friendly infrastructure. Private auto use is less common due to traffic and parking, so I'll weigh public transit and walking higher. Auto passenger is less likely as I live alone."", ""Since I'm employed and have a bachelor's degree, I'm more likely to use public transit or bike for shorter trips. Longer trips might require a private auto, but parking is limited. Walking is feasible for nearby locations, and biking is an option for moderate distances. The choice depends on the target distance, but I'll prioritize modes that are efficient and environmentally friendly.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]","[""household_size"", ""employment_status"", ""available_vehicles"", ""start_time"", ""desire"", ""education_level""]"
20,20,1942092353877048713,25,male,employed,2,265609,zero,naics722511,bachelors_degree,maintenance,14,auto_passenger,0-10,25-34,$200k-$300k,walking,"30-4, ","[""As a 25-34 year old with a bachelor's degree and an income of $200k-$300k, I'm likely to prefer private auto for transportation due to the convenience and time efficiency. However, since I don't have a vehicle, I'm forced to consider other modes. Walking is a possibility for short distances, but the duration might be too long. Biking is also an option if the distance is moderate. The reference data shows that private auto is a common choice, but the weight is lower due to the lack of a vehicle. I'm also considering the cultural context of Cambridge,MA, which is known for its walkability and bike-friendly environment, so walking and biking might have higher weights. The weight for walking and biking will be higher due to the cultural context, and private auto will have a lower weight since I don't have a vehicle.""]","[{""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""20-30"", ""weight"": 0.3}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-4, "", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}]","[""age_group"", ""available_vehicles"", ""income_group"", ""desire"", ""education_level""]"
21,21,4118696059749156231,40,male,employed,3,140504,two,naics31_33,some_college,other_activity_type,12,walking,0-10,35-44,$100k-$150k,public_transit,10-20,"[""I have two cars available, so driving is a convenient option. However, since the target distance is unknown, I might consider public transit for shorter trips. Walking is feasible if the destination is nearby. Biking could be an option if the distance is moderate. The duration choices vary, but I prefer shorter trips to avoid delays. The cultural context in Cambridge, MA might favor public transit and walking due to urban density and bike infrastructure.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""biking"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}]","[""available_vehicles"", ""start_time"", ""desire""]"
22,22,17733456390154211744,47,female,employed,4,1017202,two,naics624410,advanced_degree,social,5,walking,0-10,45-54,$300k+,private_auto,10-20,"[""As a 45-54 year old, employed, with a high income and advanced education, I prefer private transportation for convenience and comfort. Cambridge, MA has good bike infrastructure, but with a household size of 4, it's more practical to use private auto. The presence of two vehicles increases the likelihood of using private auto. Social desires at 05:00 might mean attending an early event, so private auto is the most efficient for time-sensitive social activities. The weight for private auto is higher due to these factors."", ""Walking and biking are less likely given the early hour and the need for speed. Auto passenger is possible but less preferred than private auto for control. The duration is short for private auto as it's an early social event. The weights for other modes are lower as they are less suitable for the time and purpose.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""0-10"", ""weight"": 0.45}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.25}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""0-10"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.05}]","[""household_size"", ""employment_status"", ""age_group"", ""available_vehicles"", ""income_group"", ""start_time"", ""desire"", ""education_level""]"
