,person_id,mode_probs,amenity_probs,predict_mode_numeric,predict_amenity_numeric,income_group,household_size,vehicles,family_structure,age_group,target_amenity,target_mode,target_amenity_numeric,target_mode_numeric,predict_mode,predict_amenity
17,3.260722484969248e+17,[0.25 0.3  0.45],[0.20512821 0.05128205 0.71794872 0.02564103],1.0,1.0,High,2_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Nonalcoholic Bars
18,7.992154538069809e+18,[0.27 0.21 0.52],[0.25 0.15 0.55 0.05],1.0,1.0,High,2_person,1,nonfamily_single,Elderly,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Nonalcoholic Bars
19,6.21873187393563e+17,[0.2  0.38 0.42],[0.28 0.15 0.55 0.02],1.0,2.0,Moderate,2_person,1,family_single,Senior,Drinking Places,Car,3.0,2,Public_transport,Full-Service Restaurants
20,6.325591393422687e+18,[0.35 0.42 0.23],[0.21 0.22 0.54 0.03],2.0,2.0,Debt,1_person,1,living_alone,Middle Age,Nonalcoholic Bars,Public_transport,1.0,1,Car,Full-Service Restaurants
21,7.256440326167995e+18,[0.22 0.36 0.42],[0.1  0.25 0.6  0.05],2.0,1.0,Moderate,2_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Car,Nonalcoholic Bars
22,1.1911846177181594e+19,[0.27 0.31 0.42],[0.05 0.25 0.65 0.05],1.0,3.0,Ultra High,2_person,2,married_couple,Middle Age,Limited-Service Restaurants,Walking,0.0,0,Public_transport,Drinking Places
23,1.3270103578439553e+19,[0.1  0.55 0.35],[0.25 0.05 0.65 0.05],1.0,0.0,Moderate,1_person,1,living_alone,Middle Age,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Limited-Service Restaurants
24,8.860510867231447e+18,[0.08 0.55 0.37],[0.24 0.08 0.64 0.04],2.0,2.0,Moderate,2_person,2,married_couple,Senior,Full-Service Restaurants,Car,2.0,2,Car,Full-Service Restaurants
25,3334330022187018.0,[0.3 0.2 0.5],[0.25 0.09 0.62 0.04],0.0,2.0,Moderate,2_person,1,nonfamily_single,Elderly,Nonalcoholic Bars,Public_transport,1.0,1,Walking,Full-Service Restaurants
26,7.897707411925717e+18,[0.17 0.45 0.38],[0.31578947 0.21052632 0.42105263 0.05263158],1.0,2.0,Low,2_person,2,family_single,Young Adult,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
27,1.0269199770082634e+19,[0.2  0.35 0.45],[0.1  0.25 0.62 0.03],1.0,1.0,Moderate,2_person,1,married_couple,Middle Age,Full-Service Restaurants,Car,2.0,2,Public_transport,Nonalcoholic Bars
28,5.324555472376509e+18,[0.5 0.3 0.2],[0.58 0.2  0.12 0.1 ],0.0,0.0,Debt,6_person,1,married_couple,Young Adult,Full-Service Restaurants,Walking,2.0,0,Walking,Limited-Service Restaurants
29,1.3985911443689443e+19,[0.18 0.55 0.27],[0.32 0.16 0.47 0.05],0.0,2.0,High,6_person,0,nonfamily_single,Young Adult,Full-Service Restaurants,Walking,2.0,0,Walking,Full-Service Restaurants
30,8.800311900976599e+18,[0.25 0.35 0.4 ],[0.12 0.26 0.62 0.  ],2.0,1.0,Moderate,1_person,1,living_alone,Senior,Full-Service Restaurants,Walking,2.0,0,Car,Nonalcoholic Bars
31,1.2614046980687049e+19,[0.25 0.44 0.31],[0.35 0.08 0.53 0.04],1.0,0.0,Moderate,4_person,1,nonfamily_single,Young Adult,Nonalcoholic Bars,Car,1.0,2,Public_transport,Limited-Service Restaurants
32,1.546287298284822e+19,[0.55 0.35 0.1 ],[0.28 0.15 0.53 0.04],0.0,2.0,Moderate,4_person,2,family_single,Young Adult,Full-Service Restaurants,Car,2.0,2,Walking,Full-Service Restaurants
34,6.151195384140786e+18,[0.1  0.35 0.55],[0.20408163 0.06122449 0.71428571 0.02040816],2.0,0.0,Moderate,3_person,1,family_single,Young Adult,Nonalcoholic Bars,Car,1.0,2,Car,Limited-Service Restaurants
35,7.883859262784292e+18,[0.25 0.2  0.55],[0.12 0.21 0.63 0.04],2.0,2.0,Low,2_person,2,family_single,Adult,Full-Service Restaurants,Walking,2.0,0,Car,Full-Service Restaurants
36,1.7267927822371097e+19,[0.45 0.35 0.2 ],[0.25 0.1  0.6  0.05],1.0,2.0,Moderate,3_person,1,married_couple,Adult,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Full-Service Restaurants
37,3.632856760141869e+18,[0.28 0.42 0.3 ],[0.2  0.05 0.7  0.05],0.0,2.0,High,2_person,1,married_couple,Young Adult,Limited-Service Restaurants,Walking,0.0,0,Walking,Full-Service Restaurants
38,7.432489020438284e+18,[0.2  0.35 0.45],[0.14 0.21 0.63 0.02],1.0,2.0,Very High,1_person,1,living_alone,Adult,Nonalcoholic Bars,Walking,1.0,0,Public_transport,Full-Service Restaurants
39,9.355814540958252e+17,[0.45 0.15 0.4 ],[0.3 0.1 0.5 0.1],2.0,0.0,Ultra High,2_person,1,nonfamily_single,Young Adult,Full-Service Restaurants,Car,2.0,2,Car,Limited-Service Restaurants
40,8.98981793732501e+18,[0.45 0.3  0.25],[0.25 0.05 0.65 0.05],2.0,2.0,High,2_person,2,nonfamily_single,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Car,Full-Service Restaurants
41,1.7638957032618738e+19,[0.5  0.35 0.15],[0.3  0.05 0.6  0.05],0.0,0.0,High,1_person,0,living_alone,Adult,Full-Service Restaurants,Walking,2.0,0,Walking,Limited-Service Restaurants
42,8.265639512172123e+18,[0.35 0.2  0.45],[0.31 0.08 0.58 0.03],1.0,2.0,Ultra High,1_person,1,living_alone,Adult,Limited-Service Restaurants,Walking,0.0,0,Public_transport,Full-Service Restaurants
43,2.800834359096604e+18,[0.25 0.2  0.55],[0.11340206 0.17525773 0.65979381 0.05154639],2.0,2.0,Ultra High,2_person,1,married_couple,Elderly,Limited-Service Restaurants,Car,0.0,2,Car,Full-Service Restaurants
44,1.3971796664956928e+19,[0.42 0.26 0.32],[0.2  0.1  0.65 0.05],0.0,0.0,Low,4_person,1,family_single,Middle Age,Full-Service Restaurants,Car,2.0,2,Walking,Limited-Service Restaurants
45,5.596528865965317e+18,[0.35 0.55 0.1 ],[0.38 0.15 0.45 0.02],1.0,2.0,Moderate,2_person,1,nonfamily_single,Young Adult,Drinking Places,Car,3.0,2,Public_transport,Full-Service Restaurants
46,1.695945840776741e+19,[0.38 0.42 0.2 ],[0.35 0.08 0.55 0.02],1.0,2.0,Low,4_person,1,family_single,Elderly,Limited-Service Restaurants,Public_transport,0.0,1,Public_transport,Full-Service Restaurants
47,1.2465059861198303e+19,[0.55 0.35 0.1 ],[0.15 0.2  0.6  0.05],0.0,1.0,Debt,5_person,1,married_couple,Young Adult,Drinking Places,Public_transport,3.0,1,Walking,Nonalcoholic Bars
48,1.1297535379449798e+18,[0.1  0.25 0.65],[0.2  0.22 0.45 0.13],2.0,0.0,Ultra High,1_person,1,living_alone,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Limited-Service Restaurants
49,1.1029144171013802e+19,[0.15 0.8  0.05],[0.17 0.32 0.45 0.06],0.0,1.0,Ultra High,1_person,1,living_alone,Middle Age,Full-Service Restaurants,Car,2.0,2,Walking,Nonalcoholic Bars
50,1.3527072733351352e+19,[0.27 0.28 0.45],[0.15 0.17 0.62 0.06],1.0,1.0,Low,2_person,1,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Public_transport,Nonalcoholic Bars
51,6.041614217502226e+18,[0.15 0.3  0.55],[0.25 0.05 0.65 0.05],2.0,2.0,Ultra High,7_plus_person,1,married_couple,Middle Age,Limited-Service Restaurants,Car,0.0,2,Car,Full-Service Restaurants
52,9.515779483170218e+18,[0.33 0.38 0.29],[0.22222222 0.29292929 0.44444444 0.04040404],0.0,2.0,Very High,2_person,1,married_couple,Young Adult,Full-Service Restaurants,Walking,2.0,0,Walking,Full-Service Restaurants
53,4.120087639175306e+18,[0.42 0.38 0.2 ],[0.71794872 0.05128205 0.20512821 0.02564103],1.0,0.0,Moderate,1_person,0,living_alone,Adult,Nonalcoholic Bars,Walking,1.0,0,Public_transport,Limited-Service Restaurants
54,2.9502825868290386e+18,[0.29 0.28 0.43],[0.2 0.1 0.6 0.1],0.0,0.0,Moderate,2_person,1,nonfamily_single,Adult,Nonalcoholic Bars,Public_transport,1.0,1,Walking,Limited-Service Restaurants
55,7.095155994799121e+18,[0.23 0.45 0.32],[0.25 0.05 0.65 0.05],2.0,2.0,Moderate,3_person,3_plus,nonfamily_single,Young Adult,Nonalcoholic Bars,Car,1.0,2,Car,Full-Service Restaurants
56,3.339560348876756e+18,[0.1  0.28 0.62],[0.24175824 0.16483516 0.51648352 0.07692308],2.0,0.0,Very High,6_person,3_plus,married_couple,Middle Age,Limited-Service Restaurants,Public_transport,0.0,1,Car,Limited-Service Restaurants
57,1.412743512860687e+19,[0.12 0.15 0.73],[0.1  0.2  0.65 0.05],2.0,1.0,Ultra High,1_person,1,living_alone,Elderly,Drinking Places,Car,3.0,2,Car,Nonalcoholic Bars
58,9.355228576102013e+18,[0.15 0.3  0.55],[0.25 0.1  0.55 0.1 ],2.0,0.0,Very High,1_person,1,living_alone,Middle Age,Drinking Places,Car,3.0,2,Car,Limited-Service Restaurants
59,5.624143527260796e+18,[0.53 0.12 0.35],[0.12 0.26 0.59 0.03],0.0,1.0,Ultra High,1_person,1,living_alone,Middle Age,Limited-Service Restaurants,Public_transport,0.0,1,Walking,Nonalcoholic Bars
60,1.5529624238226584e+19,[0.18 0.55 0.27],[0.33 0.12 0.52 0.03],1.0,2.0,Debt,3_person,1,married_couple,Middle Age,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Full-Service Restaurants
61,1.391054756183284e+19,[0.36 0.42 0.22],[0.3 0.1 0.5 0.1],2.0,0.0,Moderate,1_person,1,living_alone,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Car,Limited-Service Restaurants
62,4.793342788474607e+18,[0.3  0.25 0.45],[0.27 0.14 0.55 0.04],2.0,2.0,Low,3_person,2,married_couple,Adult,Limited-Service Restaurants,Car,0.0,2,Car,Full-Service Restaurants
63,1.5751268060541026e+19,[0.11 0.26 0.63],[0.33 0.13 0.47 0.07],2.0,0.0,Ultra High,3_person,2,married_couple,Middle Age,Full-Service Restaurants,Walking,2.0,0,Car,Limited-Service Restaurants
64,2.9678525392543365e+18,[0.25 0.1  0.65],[0.16 0.26 0.46 0.12],2.0,1.0,High,2_person,1,married_couple,Elderly,Nonalcoholic Bars,Car,1.0,2,Car,Nonalcoholic Bars
65,1.718346579452031e+19,[0.1  0.25 0.65],[0.15 0.23 0.54 0.08],0.0,2.0,Moderate,1_person,1,living_alone,Elderly,Limited-Service Restaurants,Public_transport,0.0,1,Walking,Full-Service Restaurants
66,1.7494121566644122e+18,[0.25 0.2  0.55],[0.12 0.21 0.61 0.06],1.0,2.0,Ultra High,2_person,1,married_couple,Adult,Limited-Service Restaurants,Car,0.0,2,Public_transport,Full-Service Restaurants
67,8.86397465637422e+18,[0.36 0.37 0.27],[0.16 0.24 0.51 0.09],0.0,1.0,Moderate,4_person,0,nonfamily_single,Adult,Full-Service Restaurants,Walking,2.0,0,Walking,Nonalcoholic Bars
68,8.552186379466208e+18,[0.45 0.35 0.2 ],[0.44 0.21 0.18 0.17],2.0,0.0,Debt,2_person,1,family_single,Young Adult,Limited-Service Restaurants,Car,0.0,2,Car,Limited-Service Restaurants
69,2.0159136086654008e+18,[0.45 0.35 0.2 ],[0.55 0.1  0.15 0.2 ],2.0,0.0,Low,5_person,0,married_couple,Adult,Limited-Service Restaurants,Public_transport,0.0,1,Car,Limited-Service Restaurants
70,2.6020122867935887e+18,[0.21 0.17 0.62],[0.08 0.38 0.52 0.02],0.0,2.0,Moderate,2_person,1,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Walking,Full-Service Restaurants
71,1.7975056229704835e+19,[0.1  0.35 0.55],[0.05 0.2  0.7  0.05],2.0,2.0,Low,2_person,1,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Full-Service Restaurants
72,4.78788659421534e+18,[0.26 0.19 0.55],[0.20725389 0.05181347 0.7253886  0.01554404],0.0,2.0,Low,2_person,2,nonfamily_single,Young Adult,Nonalcoholic Bars,Public_transport,1.0,1,Walking,Full-Service Restaurants
73,1.2887116290219332e+19,[0.52 0.36 0.12],[0.14 0.22 0.61 0.03],0.0,2.0,Ultra High,2_person,0,nonfamily_single,Adult,Full-Service Restaurants,Car,2.0,2,Walking,Full-Service Restaurants
75,1.5473820774128191e+19,[0.28 0.27 0.45],[0.16 0.22 0.52 0.1 ],2.0,2.0,Very High,4_person,3_plus,family_single,Senior,Nonalcoholic Bars,Car,1.0,2,Car,Full-Service Restaurants
76,6.539512779017173e+18,[0.35 0.42 0.23],[0.41 0.12 0.46 0.01],2.0,0.0,Moderate,3_person,0,nonfamily_single,Young Adult,Full-Service Restaurants,Walking,2.0,0,Car,Limited-Service Restaurants
77,6.279005694274863e+18,[0.36 0.43 0.21],[0.26 0.24 0.36 0.14],1.0,2.0,Moderate,2_person,1,nonfamily_single,Young Adult,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Full-Service Restaurants
78,1.1945390963355806e+19,[0.28 0.27 0.45],[0.1  0.2  0.65 0.05],1.0,2.0,Moderate,2_person,1,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
79,1.3580224128204458e+19,[0.3  0.25 0.45],[0.26 0.17 0.42 0.15],2.0,3.0,Moderate,5_person,3_plus,married_couple,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Car,Drinking Places
80,1.184758576238401e+18,[0.25 0.2  0.55],[0.24489796 0.08163265 0.63265306 0.04081633],1.0,2.0,Ultra High,2_person,2,married_couple,Middle Age,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
81,1.7148575007335217e+18,[0.25 0.55 0.2 ],[0.1  0.12 0.72 0.06],2.0,1.0,Debt,5_person,1,married_couple,Senior,Full-Service Restaurants,Public_transport,2.0,1,Car,Nonalcoholic Bars
82,1.75969900527818e+19,[0.45 0.35 0.2 ],[0.15 0.08 0.72 0.05],2.0,2.0,Ultra High,1_person,0,living_alone,Middle Age,Full-Service Restaurants,Walking,2.0,0,Car,Full-Service Restaurants
83,1.4237046771034547e+18,[0.2 0.1 0.7],[0.25 0.05 0.65 0.05],2.0,0.0,Ultra High,1_person,1,living_alone,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Limited-Service Restaurants
84,1.232957273984122e+18,[0.07 0.35 0.58],[0.20512821 0.05128205 0.71794872 0.02564103],2.0,2.0,Moderate,2_person,2,nonfamily_single,Elderly,Full-Service Restaurants,Car,2.0,2,Car,Full-Service Restaurants
85,5.86810538286761e+18,[0.15 0.6  0.25],[0.2755102  0.13265306 0.55102041 0.04081633],1.0,0.0,Debt,3_person,1,married_couple,Senior,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Limited-Service Restaurants
86,1.5548476353222871e+19,[0.53 0.36 0.11],[0.4556962  0.2278481  0.29113924 0.02531646],1.0,3.0,Debt,3_person,0,nonfamily_single,Young Adult,Nonalcoholic Bars,Walking,1.0,0,Public_transport,Drinking Places
87,1.049552115486953e+19,[0.13 0.25 0.62],[0.27 0.15 0.55 0.03],1.0,2.0,Ultra High,7_plus_person,1,married_couple,Elderly,Full-Service Restaurants,Walking,2.0,0,Public_transport,Full-Service Restaurants
88,1.0525736188457144e+19,[0.25 0.3  0.45],[0.29807692 0.14423077 0.50961538 0.04807692],0.0,2.0,Very High,1_person,1,living_alone,Senior,Full-Service Restaurants,Car,2.0,2,Walking,Full-Service Restaurants
89,1.5076856796173384e+19,[0.23 0.25 0.52],[0.25 0.05 0.65 0.05],2.0,3.0,High,2_person,2,married_couple,Middle Age,Nonalcoholic Bars,Public_transport,1.0,1,Car,Drinking Places
91,8.624207000324047e+18,[0.05 0.22 0.73],[0.3  0.1  0.55 0.05],1.0,0.0,Low,3_person,3_plus,family_single,Elderly,Limited-Service Restaurants,Car,0.0,2,Public_transport,Limited-Service Restaurants
92,5.948174127995676e+18,[0.44 0.35 0.21],[0.25 0.05 0.65 0.05],0.0,2.0,Moderate,2_person,0,nonfamily_single,Young Adult,Full-Service Restaurants,Walking,2.0,0,Walking,Full-Service Restaurants
94,1.199024393766878e+19,[0.25 0.3  0.45],[0.35 0.15 0.45 0.05],1.0,2.0,Ultra High,1_person,0,living_alone,Elderly,Full-Service Restaurants,Walking,2.0,0,Public_transport,Full-Service Restaurants
95,3.186884988304475e+18,[0.36 0.38 0.26],[0.3  0.05 0.6  0.05],1.0,2.0,Debt,4_person,1,nonfamily_single,Young Adult,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
96,7.071141664606755e+18,[0.52 0.04 0.44],[0.15 0.25 0.45 0.15],1.0,0.0,Ultra High,2_person,2,married_couple,Middle Age,Limited-Service Restaurants,Walking,0.0,0,Public_transport,Limited-Service Restaurants
97,7.149562998195157e+18,[0.1  0.28 0.62],[0.25 0.15 0.55 0.05],2.0,0.0,Ultra High,2_person,1,family_single,Senior,Full-Service Restaurants,Public_transport,2.0,1,Car,Limited-Service Restaurants
98,1.1957037987574356e+19,[0.56 0.32 0.12],[0.3  0.12 0.55 0.03],1.0,2.0,Moderate,3_person,0,married_couple,Young Adult,Full-Service Restaurants,Public_transport,2.0,1,Public_transport,Full-Service Restaurants
99,2.270223271390246e+18,[0.25 0.2  0.55],[0.11340206 0.21649485 0.60824742 0.06185567],0.0,2.0,Moderate,2_person,1,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Walking,Full-Service Restaurants
100,1.7820451355316406e+18,[0.35 0.45 0.2 ],[0.2  0.22 0.42 0.16],0.0,1.0,Moderate,2_person,1,nonfamily_single,Young Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Nonalcoholic Bars
101,6.887873864471251e+18,[0.13 0.42 0.45],[0.3 0.1 0.5 0.1],1.0,2.0,Low,2_person,1,married_couple,Elderly,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
102,1.0258552510066248e+19,[0.42 0.3  0.28],[0.25 0.04 0.7  0.01],2.0,2.0,Moderate,4_person,2,nonfamily_single,Middle Age,Nonalcoholic Bars,Car,1.0,2,Car,Full-Service Restaurants
103,5.24119947441084e+18,[0.22 0.42 0.36],[0.15 0.25 0.55 0.05],0.0,1.0,Moderate,2_person,2,nonfamily_single,Middle Age,Full-Service Restaurants,Walking,2.0,0,Walking,Nonalcoholic Bars
104,8.985566402683585e+17,[0.42 0.13 0.45],[0.2  0.25 0.42 0.13],2.0,2.0,High,2_person,2,nonfamily_single,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Car,Full-Service Restaurants
105,1.1503374881512067e+19,[0.62 0.26 0.12],[0.2  0.03 0.75 0.02],0.0,2.0,Debt,1_person,0,living_alone,Adult,Limited-Service Restaurants,Public_transport,0.0,1,Walking,Full-Service Restaurants
106,1.612583316702532e+19,[0.42 0.35 0.23],[0.36 0.16 0.42 0.06],1.0,2.0,Low,1_person,0,living_alone,Senior,Full-Service Restaurants,Walking,2.0,0,Public_transport,Full-Service Restaurants
107,8.669882308469954e+18,[0.19 0.26 0.55],[0.14 0.23 0.58 0.05],2.0,2.0,Moderate,1_person,1,living_alone,Elderly,Nonalcoholic Bars,Car,1.0,2,Car,Full-Service Restaurants
108,7.464689094731272e+18,[0.55 0.2  0.25],[0.58 0.26 0.13 0.03],0.0,2.0,Low,2_person,0,nonfamily_single,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Walking,Full-Service Restaurants
109,1.1094034985913936e+19,[0.36 0.22 0.42],[0.31313131 0.08080808 0.57575758 0.03030303],0.0,2.0,Moderate,2_person,1,nonfamily_single,Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Full-Service Restaurants
110,1.828068883977944e+19,[0.88 0.05 0.07],[0.31578947 0.10526316 0.52631579 0.05263158],0.0,2.0,Very High,2_person,0,married_couple,Middle Age,Limited-Service Restaurants,Walking,0.0,0,Walking,Full-Service Restaurants
111,8.963341165582495e+18,[0.27 0.19 0.54],[0.26 0.18 0.51 0.05],0.0,0.0,Low,3_person,1,married_couple,Middle Age,Nonalcoholic Bars,Car,1.0,2,Walking,Limited-Service Restaurants
112,8.551332300465706e+18,[0.22 0.42 0.36],[0.2  0.05 0.7  0.05],1.0,3.0,High,7_plus_person,2,married_couple,Adult,Full-Service Restaurants,Walking,2.0,0,Public_transport,Drinking Places
113,2.0932442368432136e+18,[0.2  0.15 0.65],[0.1 0.3 0.6 0. ],2.0,2.0,Low,2_person,1,married_couple,Young Adult,Full-Service Restaurants,Walking,2.0,0,Car,Full-Service Restaurants
114,7.191514771247198e+18,[0.5  0.35 0.15],[0.09 0.15 0.69 0.07],0.0,2.0,Moderate,3_person,1,family_single,Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Full-Service Restaurants
115,7.426253887404767e+17,[0.12 0.26 0.62],[0.31 0.12 0.53 0.04],2.0,0.0,Moderate,4_person,1,family_single,Middle Age,Full-Service Restaurants,Walking,2.0,0,Car,Limited-Service Restaurants
116,1.4902315896891062e+19,[0.24 0.48 0.28],[0.24 0.08 0.62 0.06],1.0,2.0,Low,1_person,1,living_alone,Elderly,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
117,9.32461144264644e+18,[0.25 0.3  0.45],[0.25 0.2  0.55 0.  ],0.0,0.0,Moderate,4_person,1,married_couple,Senior,Full-Service Restaurants,Public_transport,2.0,1,Walking,Limited-Service Restaurants
118,9.953173655904098e+18,[0.31 0.16 0.53],[0.04 0.3  0.6  0.06],0.0,1.0,Moderate,1_person,1,living_alone,Elderly,Full-Service Restaurants,Car,2.0,2,Walking,Nonalcoholic Bars
119,5.471048028751825e+18,[0.24 0.24 0.52],[0.23469388 0.06122449 0.68367347 0.02040816],2.0,0.0,Moderate,2_person,2,married_couple,Adult,Full-Service Restaurants,Car,2.0,2,Car,Limited-Service Restaurants
120,1.2342943704103471e+19,[0.5 0.2 0.3],[0.28 0.22 0.32 0.18],0.0,2.0,High,3_person,1,nonfamily_single,Young Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Full-Service Restaurants
121,1.4310046302062789e+19,[0.31 0.42 0.27],[0.35 0.13 0.48 0.04],1.0,0.0,Low,2_person,1,nonfamily_single,Middle Age,Full-Service Restaurants,Walking,2.0,0,Public_transport,Limited-Service Restaurants
122,6.670542793004001e+18,[0.36 0.52 0.12],[0.25 0.05 0.65 0.05],0.0,2.0,Debt,3_person,0,married_couple,Young Adult,Full-Service Restaurants,Public_transport,2.0,1,Walking,Full-Service Restaurants
123,8.522720164181306e+18,[0.32 0.55 0.13],[0.35 0.18 0.42 0.05],1.0,0.0,Moderate,3_person,3_plus,nonfamily_single,Young Adult,Limited-Service Restaurants,Public_transport,0.0,1,Public_transport,Limited-Service Restaurants
124,7.117996337404711e+18,[0.56 0.35 0.09],[0.16 0.15 0.62 0.07],0.0,0.0,Low,4_person,0,nonfamily_single,Young Adult,Limited-Service Restaurants,Walking,0.0,0,Walking,Limited-Service Restaurants
126,1.469615573196586e+19,[0.38 0.42 0.2 ],[0.25641026 0.07692308 0.61538462 0.05128205],1.0,2.0,Low,2_person,2,married_couple,Middle Age,Full-Service Restaurants,Car,2.0,2,Public_transport,Full-Service Restaurants
127,1.5564259188311986e+19,[0.43 0.36 0.21],[0.65 0.12 0.15 0.08],0.0,2.0,Low,2_person,0,nonfamily_single,Elderly,Limited-Service Restaurants,Walking,0.0,0,Walking,Full-Service Restaurants
128,1.1769129396149996e+19,[0.31 0.53 0.16],[0.15 0.04 0.8  0.01],0.0,2.0,Low,1_person,0,living_alone,Young Adult,Limited-Service Restaurants,Walking,0.0,0,Walking,Full-Service Restaurants
129,1.2693320177452792e+19,[0.25 0.43 0.32],[0.15 0.05 0.76 0.04],0.0,0.0,Ultra High,1_person,1,living_alone,Adult,Nonalcoholic Bars,Car,1.0,2,Walking,Limited-Service Restaurants
