,activity_id,origin_bgrp_2020,origin_trct_2020,origin_cty_2020,origin_st_2020,destination_bgrp_2020,destination_trct_2020,destination_cty_2020,destination_st_2020,primary_mode,trip_purpose,previous_trip_purpose,trip_start_time,trip_end_time,trip_duration_minutes,trip_distance_miles,vehicle_type,vehicle_fuel_type,transit_submode,transit_agency,transit_route,origin_land_use,origin_building_use,destination_land_use,destination_building_use,trip_taker_person_id,trip_taker_household_id,trip_taker_age,trip_taker_sex,trip_taker_race_ethnicity,trip_taker_employment_status,trip_taker_wfh,trip_taker_individual_income,trip_taker_commute_mode,trip_taker_household_size,trip_taker_household_income,trip_taker_available_vehicles,trip_taker_resident_type,trip_taker_industry,trip_taker_building_type,trip_taker_school_grade_attending,trip_taker_education,trip_taker_tenure,trip_taker_language,trip_taker_home_bgrp_2020,trip_taker_home_trct_2020,trip_taker_home_cty_2020,trip_taker_home_st_2020,trip_taker_work_bgrp_2020,trip_taker_work_trct_2020,trip_taker_work_cty_2020,trip_taker_work_st_2020
99543,16988897012589245198,"1 (Tract 3538, Middlesex, MA)","3538 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3538, Middlesex, MA)","3538 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,maintenance,home,13:33:00,13:35:41,2,0.1,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,mixed_use,office,10893551490832502159,4506476443543204649,33,male,two_races_not_hispanic_or_latino,employed,remote,123571,worked_from_home,2,279428,one,core,naics51,multiple_units,graduate,bachelors_degree,renter,english,"1 (Tract 3538, Middlesex, MA)","3538 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3538, Middlesex, MA)","3538 (Middlesex, MA)","Middlesex County, MA",Massachusetts
39973,12456264148437328886,"2 (Tract 3536, Middlesex, MA)","3536 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,eat,11:51:00,12:06:51,15,0.8,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,education,education,17017329357520144185,14506366495791483443,22,male,black_not_hispanic_or_latino,employed,remote,11401,worked_from_home,1,0,unknown_num_vehicles,core,naics61,GQ_structure,undergraduate,some_college,GQ,GQ_language,"1 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts
156569,13176998918065546045,"3 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,shop,18:03:00,18:04:02,1,0.1,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,retail,multi_family,multi_family,755382675252531594,15439654716991938895,65,male,white_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,118198,other_travel_mode,2,225556,two,core,not_working,several_units,not_attending_school,advanced_degree,owner,asian_pacific,"3 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
21196,3930278033994600832,"2 (Tract 3536, Middlesex, MA)","3536 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3536, Middlesex, MA)","3536 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,school,14:17:00,14:19:58,2,0.2,unknown_vehicle_type,unknown_fuel_type,,,,education,education,multi_family,multi_family,11743435843766767422,7025958162940691582,19,female,white_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,0,other_travel_mode,1,0,zero,core,not_working,multiple_units,undergraduate,some_college,renter,indo_european,"2 (Tract 3536, Middlesex, MA)","3536 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3536, Middlesex, MA)","3536 (Middlesex, MA)","Middlesex County, MA",Massachusetts
101849,17314044700746037550,"2 (Tract 3531.01, Middlesex, MA)","3531.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3532, Middlesex, MA)","3532 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,work,home,07:21:00,07:36:15,15,0.8,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,multi_family,non_retail_attraction,non_retail_attraction,11423105446214939208,2710810432029533250,34,female,asian_not_hispanic_or_latino,employed,in_person,150782,walking,1,150782,zero,core,naics54,multiple_units,not_attending_school,advanced_degree,owner,asian_pacific,"2 (Tract 3531.01, Middlesex, MA)","3531.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3532, Middlesex, MA)","3532 (Middlesex, MA)","Middlesex County, MA",Massachusetts
171118,6836047740096398407,"1 (Tract 3542, Middlesex, MA)","3542 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3550, Middlesex, MA)","3550 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,eat,home,18:01:00,18:07:41,6,1.8,unknown_vehicle_type,other_non_bev,,,,single_family,single_family,retail,retail,1036661868201733104,10209073233566405407,83,male,white_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,3479,other_travel_mode,6,598490,three_plus,core,not_working,single_family,not_attending_school,high_school,owner,other,"1 (Tract 3542, Middlesex, MA)","3542 (Middlesex, MA)","Middlesex County, MA",Massachusetts,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
118685,3474611670474264418,"2 (Tract 3525, Middlesex, MA)","3525 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3524, Middlesex, MA)","3524 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,eat,home,17:00:00,17:06:05,6,0.3,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,multi_family,mixed_use,retail,8444333215150597328,8642119743889908355,40,male,white_not_hispanic_or_latino,employed,in_person,178247,public_transit,4,289578,zero,core,naics517312,several_units,not_attending_school,bachelors_degree,owner,english,"2 (Tract 3525, Middlesex, MA)","3525 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3324.02, Middlesex, MA)","3324.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts
105486,11414312651539971537,"2 (Tract 3544, Middlesex, MA)","3544 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3544, Middlesex, MA)","3544 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,social,home,11:01:00,11:03:34,2,0.1,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,single_family,single_family,4185732034514758741,15237518531455134285,35,female,white_not_hispanic_or_latino,employed,remote,136812,worked_from_home,2,262224,one,core,naics31_33,several_units,not_attending_school,advanced_degree,renter,english,"2 (Tract 3544, Middlesex, MA)","3544 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3544, Middlesex, MA)","3544 (Middlesex, MA)","Middlesex County, MA",Massachusetts
92484,9333766788752823767,"1 (Tract 3548, Middlesex, MA)","3548 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3549.02, Middlesex, MA)","3549.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,work,shop,15:01:00,15:12:14,11,0.6,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,retail,mixed_use,office,122352582757197353,2638792977751996900,31,male,asian_not_hispanic_or_latino,employed,in_person,222874,public_transit,2,278537,one,core,naics5416,multiple_units,not_attending_school,advanced_degree,renter,asian_pacific,"3 (Tract 3549.01, Middlesex, MA)","3549.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3549.02, Middlesex, MA)","3549.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts
156021,3932331332495306050,"2 (Tract 3543, Middlesex, MA)","3543 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3544, Middlesex, MA)","3544 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,social,home,07:28:00,07:34:03,6,0.3,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,single_family,single_family,13845650573917036347,15639615485172525238,65,female,white_not_hispanic_or_latino,employed,in_person,24871,private_auto,2,54954,one,core,naics44_45,multiple_units,not_attending_school,no_school,renter,asian_pacific,"2 (Tract 3543, Middlesex, MA)","3543 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"4 (Tract 1304.02, Suffolk, MA)","1304.02 (Suffolk, MA)","Suffolk County, MA",Massachusetts
35713,13230435239604207858,"1 (Tract 3541, Middlesex, MA)","3541 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3537, Middlesex, MA)","3537 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,home,eat,16:13:00,16:15:57,2,0.6,unknown_vehicle_type,other_non_bev,,,,retail,retail,education,education,14265037786270846603,305977101714209698,21,female,white_not_hispanic_or_latino,employed,employed_not_working,22266,private_auto,1,0,unknown_num_vehicles,core,naics611110,GQ_structure,undergraduate,some_college,GQ,GQ_language,"3 (Tract 3537, Middlesex, MA)","3537 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3323, Middlesex, MA)","3323 (Middlesex, MA)","Middlesex County, MA",Massachusetts
158222,275656093960839519,"1 (Tract 3521.02, Middlesex, MA)","3521.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3533, Middlesex, MA)","3533 (Middlesex, MA)","Middlesex County, MA",Massachusetts,public_transit,home,eat,19:31:00,19:54:24,23,1.9,unknown_vehicle_type,unknown_fuel_type,subway,MBTA,Red Line,retail,retail,multi_family,multi_family,6487666759720961778,7635627873779648875,67,male,white_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,10902,other_travel_mode,1,10902,zero,core,not_working,several_units,not_attending_school,bachelors_degree,renter,english,"1 (Tract 3533, Middlesex, MA)","3533 (Middlesex, MA)","Middlesex County, MA",Massachusetts,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
111281,1677473513660751720,"2 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,biking,work,home,09:56:00,10:08:17,12,1.9,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,education,education,4797733576540623828,7714030871595484986,37,male,white_not_hispanic_or_latino,employed,in_person,211519,biking,3,367376,one,core,naics61,several_units,not_attending_school,advanced_degree,owner,indo_european,"2 (Tract 3594, Middlesex, MA)","3594 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts
150790,10111021254314164076,"2 (Tract 3541, Middlesex, MA)","3541 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3541, Middlesex, MA)","3541 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,eat,home,12:05:00,12:08:43,3,0.7,unknown_vehicle_type,other_non_bev,,,,multi_family,multi_family,retail,retail,373745837899077060,407801265590680245,61,male,white_not_hispanic_or_latino,unemployed,unemployed_under_16_not_in_labor_force,0,other_travel_mode,2,222652,one,core,not_working,multiple_units,not_attending_school,advanced_degree,owner,indo_european,"2 (Tract 3541, Middlesex, MA)","3541 (Middlesex, MA)","Middlesex County, MA",Massachusetts,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
171514,4647393600805611602,"2 (Tract 3538, Middlesex, MA)","3538 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,shop,home,17:15:00,17:44:21,29,1.5,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,retail,retail,4139174957468555260,11911888540380120927,85,female,hispanic_or_latino_origin,not_in_labor_force,unemployed_under_16_not_in_labor_force,10777,other_travel_mode,1,10777,zero,core,not_working,multiple_units,not_attending_school,bachelors_degree,renter,spanish,"2 (Tract 3538, Middlesex, MA)","3538 (Middlesex, MA)","Middlesex County, MA",Massachusetts,Does not have work/school location,Does not have work/school location,Does not have work/school location,Does not have work/school location
118967,14484298709333610896,"1 (Tract 3529, Middlesex, MA)","3529 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3529, Middlesex, MA)","3529 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,social,home,07:59:00,07:59:22,0,0.0,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,single_family,single_family,13802651490666999882,17004808261661592174,40,male,asian_not_hispanic_or_latino,employed,remote,262224,worked_from_home,3,410438,one,core,naics54,several_units,not_attending_school,advanced_degree,owner,asian_pacific,"1 (Tract 3529, Middlesex, MA)","3529 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3529, Middlesex, MA)","3529 (Middlesex, MA)","Middlesex County, MA",Massachusetts
72947,3017064878018840917,"2 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,work,17:54:00,18:02:03,8,0.4,unknown_vehicle_type,unknown_fuel_type,,,,mixed_use,retail,multi_family,multi_family,14657129097669099699,18376422679311506615,28,male,asian_not_hispanic_or_latino,employed,in_person,47374,walking,2,47374,zero,core,naics61,multiple_units,not_attending_school,advanced_degree,renter,asian_pacific,"2 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts
42750,9448296520970608837,"2 (Tract 3521.02, Middlesex, MA)","3521.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts,auto_passenger,shop,shop,18:04:00,18:07:09,3,0.9,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,mixed_use,retail,15288174342836955407,9621112602465486369,22,male,white_not_hispanic_or_latino,employed,in_person,37811,walking,3,211791,one,core,naics54,multiple_units,not_attending_school,bachelors_degree,renter,english,"1 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3524, Middlesex, MA)","3524 (Middlesex, MA)","Middlesex County, MA",Massachusetts
28875,3350844767140457554,"2 (Tract 3530, Middlesex, MA)","3530 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3525, Middlesex, MA)","3525 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,home,work,12:53:00,12:55:22,2,0.1,unknown_vehicle_type,unknown_fuel_type,,,,education,education,single_family,single_family,16416207300361901269,12458596699217183819,19,male,black_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,0,other_travel_mode,5,182417,three_plus,core,not_working,single_family,undergraduate,some_college,owner,indo_european,"2 (Tract 3525, Middlesex, MA)","3525 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3530, Middlesex, MA)","3530 (Middlesex, MA)","Middlesex County, MA",Massachusetts
108529,16716719873753729664,"1 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3523, Middlesex, MA)","3523 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,shop,home,18:32:00,18:44:49,12,0.7,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,mixed_use,retail,18079567443064854239,8123217193214111849,36,male,white_not_hispanic_or_latino,employed,remote,136812,worked_from_home,4,399037,zero,core,naics54,several_units,not_attending_school,advanced_degree,renter,english,"1 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3526, Middlesex, MA)","3526 (Middlesex, MA)","Middlesex County, MA",Massachusetts
40016,15637970261244361853,"1 (Tract 3541, Middlesex, MA)","3541 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"4 (Tract 3537, Middlesex, MA)","3537 (Middlesex, MA)","Middlesex County, MA",Massachusetts,private_auto,home,work,19:49:00,19:52:53,3,0.8,unknown_vehicle_type,other_non_bev,,,,education,education,education,education,10427430861773376202,12233758562570072593,22,female,white_not_hispanic_or_latino,employed,in_person,5211,private_auto,1,0,unknown_num_vehicles,core,naics61,GQ_structure,undergraduate,some_college,GQ,GQ_language,"4 (Tract 3537, Middlesex, MA)","3537 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts
23464,18417344028908158302,"3 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"3 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,other_travel_mode,social,home,14:42:00,14:42:00,0,0.0,,unknown_fuel_type,,,,education,education,education,education,6193279511750239429,1868550337271944815,19,female,white_not_hispanic_or_latino,employed,in_person,3943,auto_passenger,1,0,unknown_num_vehicles,core,naics622110,GQ_structure,undergraduate,some_college,GQ,GQ_language,"3 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3542, Middlesex, MA)","3542 (Middlesex, MA)","Middlesex County, MA",Massachusetts
66675,7004754034682477977,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3544, Middlesex, MA)","3544 (Middlesex, MA)","Middlesex County, MA",Massachusetts,biking,eat,home,17:55:00,18:13:15,18,3.2,unknown_vehicle_type,unknown_fuel_type,,,,education,education,mixed_use,retail,13385773352638790078,1662296836209184647,27,female,asian_not_hispanic_or_latino,not_in_labor_force,unemployed_under_16_not_in_labor_force,0,other_travel_mode,1,0,unknown_num_vehicles,core,not_working,GQ_structure,undergraduate,some_college,GQ,GQ_language,"1 (Tract 3531.02, Middlesex, MA)","3531.02 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"1 (Tract 3531.01, Middlesex, MA)","3531.01 (Middlesex, MA)","Middlesex County, MA",Massachusetts
62334,5393167470492140503,"1 (Tract 3529, Middlesex, MA)","3529 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 3539, Middlesex, MA)","3539 (Middlesex, MA)","Middlesex County, MA",Massachusetts,walking,social,home,11:40:00,12:00:24,20,1.1,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,education,education,7611673887981911869,16970353079266745567,26,female,white_not_hispanic_or_latino,employed,in_person,83227,walking,2,83227,zero,core,naics54,several_units,not_attending_school,bachelors_degree,renter,english,"1 (Tract 3529, Middlesex, MA)","3529 (Middlesex, MA)","Middlesex County, MA",Massachusetts,"2 (Tract 701.04, Suffolk, MA)","701.04 (Suffolk, MA)","Suffolk County, MA",Massachusetts
